permutation,best_cell_id,maximum_median_strategy_return
283,logistic_regression__long_train__train2000_test250_step250,0.040312917537117965
284,random_forest__long_train__train2000_test250_step250,0.0765582883362319
285,logistic_regression__short_train__train1000_test250_step250,0.025865336823599927
286,gradient_boosting__long_train__train2000_test250_step250,0.04920371359063269
287,logistic_regression__long_train__train2000_test250_step250,0.014837705738295126
288,logistic_regression__short_train__train1000_test250_step250,6.827235800055398e-05
289,logistic_regression__long_train__train2000_test250_step250,0.04012656943559256
290,random_forest__short_train__train1000_test250_step250,0.04301075255867359
291,logistic_regression__long_train__train2000_test250_step250,0.023926493627842493
292,gradient_boosting__long_train__train2000_test250_step250,0.03704983485793023
293,random_forest__baseline__train1500_test250_step250,0.051557669770743164
294,random_forest__long_train__train2000_test250_step250,0.020240606655315574
295,gradient_boosting__short_train__train1000_test250_step250,0.08350338125305745
296,gradient_boosting__short_train__train1000_test250_step250,0.030590339635110597
297,gradient_boosting__short_train__train1000_test250_step250,0.02750848729799027
298,logistic_regression__long_train__train2000_test250_step250,0.04664984563696262
299,logistic_regression__baseline__train1500_test250_step250,0.026351844108084554
300,gradient_boosting__baseline__train1500_test250_step250,0.053650025598204865
301,gradient_boosting__short_train__train1000_test250_step250,0.020359952328294018
302,logistic_regression__long_train__train2000_test250_step250,0.01764425716508744
303,logistic_regression__short_train__train1000_test250_step250,0.012594706004865897
304,logistic_regression__short_train__train1000_test250_step250,-7.952915852815767e-05
305,logistic_regression__baseline__train1500_test250_step250,0.012147391883470249
306,logistic_regression__long_train__train2000_test250_step250,0.06158029731733494
307,gradient_boosting__long_train__train2000_test250_step250,0.02957964027682003
308,random_forest__baseline__train1500_test250_step250,0.028728644573656092
309,logistic_regression__short_train__train1000_test250_step250,0.00042213089671228055
310,logistic_regression__baseline__train1500_test250_step250,0.009931428285770094
311,random_forest__long_train__train2000_test250_step250,0.0270528288072589
312,logistic_regression__baseline__train1500_test250_step250,0.02582625776777503
313,logistic_regression__short_train__train1000_test250_step250,0.029202719457740445
314,random_forest__long_train__train2000_test250_step250,0.029630248691943084
315,random_forest__long_train__train2000_test250_step250,0.00313437930590843
316,logistic_regression__long_train__train2000_test250_step250,0.053641909900454365
317,logistic_regression__long_train__train2000_test250_step250,8.98315799300331e-05
318,gradient_boosting__short_train__train1000_test250_step250,0.04993030009349875
319,random_forest__long_train__train2000_test250_step250,0.03663588546645369
320,logistic_regression__long_train__train2000_test250_step250,0.030294367041093118
321,logistic_regression__long_train__train2000_test250_step250,0.03430474875881173
322,random_forest__baseline__train1500_test250_step250,0.046460889611281475
323,logistic_regression__long_train__train2000_test250_step250,0.016705761488592596
324,gradient_boosting__short_train__train1000_test250_step250,0.04270927083089471
325,random_forest__baseline__train1500_test250_step250,0.04078889689818932
326,logistic_regression__long_train__train2000_test250_step250,0.06818393972575398
327,logistic_regression__long_train__train2000_test250_step250,0.040545347354218775
328,logistic_regression__short_train__train1000_test250_step250,-0.002631452468925821
329,random_forest__baseline__train1500_test250_step250,0.028791386045449174
330,gradient_boosting__baseline__train1500_test250_step250,0.013452328435554328
331,random_forest__baseline__train1500_test250_step250,0.02238003551563339
332,logistic_regression__short_train__train1000_test250_step250,0.03384285443817481
333,gradient_boosting__short_train__train1000_test250_step250,0.03216943170387654
334,gradient_boosting__baseline__train1500_test250_step250,0.05835063750352454
335,random_forest__long_train__train2000_test250_step250,0.018802570166727817
336,random_forest__baseline__train1500_test250_step250,0.019632935943389107
337,logistic_regression__long_train__train2000_test250_step250,0.02130354930099254
338,random_forest__long_train__train2000_test250_step250,0.04153173170458335
339,random_forest__baseline__train1500_test250_step250,0.03947804911945818
340,gradient_boosting__short_train__train1000_test250_step250,0.0525154379128463
341,gradient_boosting__short_train__train1000_test250_step250,0.01447584655302614
342,random_forest__short_train__train1000_test250_step250,0.019611659087609645
343,random_forest__long_train__train2000_test250_step250,0.03680774338875814
344,random_forest__baseline__train1500_test250_step250,0.02737662277358588
345,random_forest__short_train__train1000_test250_step250,0.022765679960980334
346,logistic_regression__short_train__train1000_test250_step250,-0.014774463459872766
347,random_forest__short_train__train1000_test250_step250,0.014338539904343195
348,gradient_boosting__long_train__train2000_test250_step250,0.05999631600290978
349,gradient_boosting__long_train__train2000_test250_step250,0.03998264478153701
350,gradient_boosting__short_train__train1000_test250_step250,0.012478173674468795
351,random_forest__baseline__train1500_test250_step250,0.06506366275088782
352,random_forest__long_train__train2000_test250_step250,0.0480309272900743
353,logistic_regression__baseline__train1500_test250_step250,0.03878964779763572
354,logistic_regression__long_train__train2000_test250_step250,0.04011613132740699
355,logistic_regression__short_train__train1000_test250_step250,0.03598566619163268
356,logistic_regression__baseline__train1500_test250_step250,0.017502600095610887
357,logistic_regression__short_train__train1000_test250_step250,0.025870321939310825
358,gradient_boosting__baseline__train1500_test250_step250,0.03264174121132335
359,logistic_regression__baseline__train1500_test250_step250,0.06303863786255359
360,logistic_regression__baseline__train1500_test250_step250,0.027233745103213636
361,gradient_boosting__baseline__train1500_test250_step250,0.031662814045048115
362,gradient_boosting__baseline__train1500_test250_step250,0.014215177009598401
363,gradient_boosting__baseline__train1500_test250_step250,0.04258547591572892
364,logistic_regression__long_train__train2000_test250_step250,0.01512729026902182
365,gradient_boosting__long_train__train2000_test250_step250,0.02457496579199736
366,random_forest__long_train__train2000_test250_step250,0.035192109970928476
367,gradient_boosting__baseline__train1500_test250_step250,0.057340710448267496
368,random_forest__short_train__train1000_test250_step250,0.022307651637029968
369,logistic_regression__short_train__train1000_test250_step250,-0.005368992125425631
370,random_forest__short_train__train1000_test250_step250,0.06172587293809473
371,gradient_boosting__baseline__train1500_test250_step250,0.034352860100969274
372,logistic_regression__short_train__train1000_test250_step250,0.026018392156851533
373,random_forest__long_train__train2000_test250_step250,0.016227012356311965
374,gradient_boosting__baseline__train1500_test250_step250,0.04471809046703035
375,gradient_boosting__short_train__train1000_test250_step250,0.018277796627437004
376,gradient_boosting__long_train__train2000_test250_step250,0.05696563061334392
377,random_forest__long_train__train2000_test250_step250,0.058208783856857904
378,gradient_boosting__long_train__train2000_test250_step250,0.04688756273939787
379,random_forest__short_train__train1000_test250_step250,0.02011589304463013
380,logistic_regression__long_train__train2000_test250_step250,0.04357408640513549
381,gradient_boosting__long_train__train2000_test250_step250,0.042917101313490136
382,gradient_boosting__long_train__train2000_test250_step250,0.02867701785656651
383,random_forest__long_train__train2000_test250_step250,0.05161290478238767
384,random_forest__baseline__train1500_test250_step250,0.04389873727664817
385,gradient_boosting__short_train__train1000_test250_step250,0.00964563792733153
386,logistic_regression__baseline__train1500_test250_step250,0.021931373368532903
387,gradient_boosting__baseline__train1500_test250_step250,0.030214685335498093
388,gradient_boosting__baseline__train1500_test250_step250,0.02005756814300086
389,random_forest__long_train__train2000_test250_step250,0.022772526333825205
390,random_forest__long_train__train2000_test250_step250,0.021155219967565086
391,logistic_regression__short_train__train1000_test250_step250,0.006243326308360109
392,gradient_boosting__long_train__train2000_test250_step250,0.03131414024264134
393,logistic_regression__long_train__train2000_test250_step250,0.03386004990436131
394,random_forest__short_train__train1000_test250_step250,0.008317060534915433
395,logistic_regression__long_train__train2000_test250_step250,0.031514147821731564
396,gradient_boosting__long_train__train2000_test250_step250,0.012815199046500192
397,logistic_regression__long_train__train2000_test250_step250,0.0204044381708528
398,logistic_regression__baseline__train1500_test250_step250,0.024142919134309437
399,gradient_boosting__short_train__train1000_test250_step250,0.04531261127961872
400,logistic_regression__long_train__train2000_test250_step250,0.022041818777173372
401,random_forest__short_train__train1000_test250_step250,0.021212727624863925
402,logistic_regression__long_train__train2000_test250_step250,0.043615879146336134
403,gradient_boosting__short_train__train1000_test250_step250,0.027857009306772484
404,logistic_regression__long_train__train2000_test250_step250,0.017002345240114014
405,logistic_regression__long_train__train2000_test250_step250,0.009130294254432902
406,random_forest__long_train__train2000_test250_step250,0.03114777936180091
407,logistic_regression__baseline__train1500_test250_step250,-0.011743663276387872
408,logistic_regression__long_train__train2000_test250_step250,0.016323522149292558
409,random_forest__baseline__train1500_test250_step250,0.02078089564741492
410,random_forest__baseline__train1500_test250_step250,0.015325606688845195
411,gradient_boosting__short_train__train1000_test250_step250,0.040558856307257196
412,logistic_regression__long_train__train2000_test250_step250,0.04943174871601452
413,gradient_boosting__long_train__train2000_test250_step250,0.01454935759883802
414,gradient_boosting__short_train__train1000_test250_step250,0.03983635163383803
415,random_forest__long_train__train2000_test250_step250,0.012918780003978503
416,logistic_regression__long_train__train2000_test250_step250,0.0672439310964903
417,gradient_boosting__baseline__train1500_test250_step250,0.019930863675719834
418,gradient_boosting__baseline__train1500_test250_step250,0.0168026920550004
419,gradient_boosting__baseline__train1500_test250_step250,0.012752138753387543
420,gradient_boosting__short_train__train1000_test250_step250,0.01296621281747079
421,random_forest__baseline__train1500_test250_step250,0.03275723972679123
422,logistic_regression__baseline__train1500_test250_step250,0.02611936639738821
423,logistic_regression__long_train__train2000_test250_step250,0.008676946994194745
424,logistic_regression__baseline__train1500_test250_step250,0.043142459311041215
425,random_forest__long_train__train2000_test250_step250,0.017002006087691646
426,random_forest__long_train__train2000_test250_step250,0.05303374249574011
427,logistic_regression__long_train__train2000_test250_step250,0.04822747233989899
428,random_forest__long_train__train2000_test250_step250,0.015888618422615464
429,random_forest__short_train__train1000_test250_step250,0.02819195886505299
430,random_forest__long_train__train2000_test250_step250,0.029955741664491997
431,logistic_regression__short_train__train1000_test250_step250,0.029117089177119748
432,logistic_regression__short_train__train1000_test250_step250,-0.0015061673067939818
433,gradient_boosting__baseline__train1500_test250_step250,0.031477967562815845
434,random_forest__short_train__train1000_test250_step250,0.027656851317463316
435,logistic_regression__baseline__train1500_test250_step250,0.028520499476430317
436,random_forest__long_train__train2000_test250_step250,0.031101641984275785
437,logistic_regression__baseline__train1500_test250_step250,-6.59681806485235e-05
